"","province","n","knowledge","documentation","legal","finance","trust","inflation","bureaucracy","law","inappropriate","reason","restrictions_bank_account_value","restrictions_mobile_money_value","barriers_score","barriers_normalise","barriers_percentage"
"1","Bulawayo",128,0.302763180720128,0.114812271062271,0.152541208791209,0.178594433677054,0.136111904761905,0.0875485975212003,0.0348809523809524,0.148314285714286,0.107989010989011,0.487847222222222,0.25,0.463157894736842,1.20100511695906,0.400335038986355,40.03
"2","Harare",155,0.18040101712258,0.0791671347788638,0.249603539454299,0.221338375928543,0.0755943134414769,0.345797541494364,0.0753843751858681,0.0464204277333857,0.031200940758444,0.532719776299789,0.602941176470588,0.697247706422018,1.8329086591924,0.610969553064132,61.1
"3","Manicaland",151,0.141864709256118,0.0930482560917344,0.168558340121508,0.334036277712145,0.159405288423464,0.154235974546797,0.0478081700907788,0.139903133040489,0.0919099096041363,0.509384351238656,0.53448275862069,0.752577319587629,1.79644442944697,0.598814809815658,59.88
"4","Mashonaland Central",109,0.184454781740177,0.119900497512438,0.164433067914018,0.188613541684306,0.0831518460910525,0.0874104592397275,0.0479982698393579,0.0922141281107335,0.0520545498670726,0.424989422865208,0.233333333333333,0.475,1.13332275619854,0.37777425206618,37.78
"5","Mashonaland East",132,0.103017136854095,0.0308429118773946,0.11650622605364,0.286016021823583,0.129993126147549,0.374563834154351,0.0666012725344645,0.0933008725691652,0.0802576944128668,0.526276960246426,0.0526315789473684,0.211009174311927,0.789917713505721,0.263305904501907,26.33
"6","Mashonaland West",162,0.203733505679313,0.0933720055859921,0.19586646572844,0.184318072996744,0.0961328190007678,0.0182753281492777,0.0930711171292363,0.160085323356485,0.0362037844707229,0.411385459533608,0.436363636363636,0.73469387755102,1.58244297344826,0.527480991149421,52.75
"7","Masvingo",154,0.0833750963857197,0.0301065308012969,0.1872003189003,0.229786964363439,0.207418403665869,0.324974309203014,0.0310289603630055,0.0262483295337403,0.0501786047229568,0.498896528308293,0.185185185185185,0.392857142857143,1.07693885635062,0.35897961878354,35.9
"8","Matabeleland North",142,0.218644158276779,0.0392576506257934,0.108606363893872,0.392359964096331,0.127687439291521,0.124440662032522,0.0851863394145624,0.0853492603464357,0.0294612001370669,0.559271705885431,0.0754716981132075,0.608333333333333,1.24307673733197,0.414358912443991,41.44
"9","Matabeleland South",139,0.124002815546074,0.0664830119375574,0.0578760631469149,0.277359695890945,0.129676316898018,0.193801929573607,0.0853021978021978,0.0947290265816855,0.0860900515525957,0.391095818996976,0.481012658227848,0.444444444444444,1.31655292166927,0.438850973889756,43.89
"10","Midlands",126,0.288398458013371,0.129984381242962,0.137394810659187,0.161771489617475,0.0331918505942275,0.0724658284366378,0.050308230253052,0.140784789297722,0.168479188235418,0.539132275132275,0.258064516129032,0.380952380952381,1.17814917221369,0.392716390737896,39.27
