"","X","province","size_inclusion","n","barriers_percentage","compliance_percentage","availability_percentage","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","medium",1,13.64,100,50,33.33,0.863636363636364,0.136363636363636,1,0,0.5,0.5,0.333333333333333,0.666666666666667,2.6969696969697,0.674242424242424,67.42
"2",2,"Bulawayo","micro",98,16.88,27.04,39.7,35.19,0.831170844777187,0.168829155222813,0.270408163265306,0.729591836734694,0.396973540803425,0.603026459196575,0.351855655901431,0.648144344098569,1.85040820474735,0.462602051186837,46.26
"3",3,"Bulawayo","small",29,19.41,82.76,58.53,44.72,0.805896375377463,0.194103624622537,0.827586206896552,0.172413793103448,0.585268827124899,0.414731172875101,0.4472030651341,0.5527969348659,2.66595447453301,0.666488618633253,66.65
"4",4,"Harare","medium",3,22.88,100,67.67,45.83,0.771212121212121,0.228787878787879,1,0,0.676666666666667,0.323333333333333,0.458333333333333,0.541666666666667,2.90621212121212,0.72655303030303,72.66
"5",5,"Harare","micro",107,24.64,39.25,38.4,41.1,0.753554052571022,0.246445947428978,0.392523364485981,0.607476635514019,0.384040781721785,0.615959218278215,0.411016186100846,0.588983813899154,1.94113438487963,0.485283596219909,48.53
"6",6,"Harare","small",45,22.36,87.78,47.04,34.7,0.776446115127711,0.223553884872289,0.877777777777778,0.122222222222222,0.470425568425568,0.529574431574432,0.346987371987372,0.653012628012628,2.47163683331843,0.617909208329607,61.79
"7",7,"Manicaland","medium",1,9.09,100,66,69.44,0.909090909090909,0.0909090909090909,1,0,0.66,0.34,0.694444444444445,0.305555555555555,3.26353535353535,0.815883838383838,81.59
"8",8,"Manicaland","micro",110,22.31,43.18,37.63,32.86,0.776918919057475,0.223081080942525,0.431818181818182,0.568181818181818,0.376326554925765,0.623673445074235,0.328593911875162,0.671406088124838,1.91365756767658,0.478414391919146,47.84
"9",9,"Manicaland","small",40,24.31,92.5,55.25,54.23,0.756896234808763,0.243103765191237,0.925,0.075,0.552483447924624,0.447516552075376,0.542262587773424,0.457737412226576,2.77664227050681,0.694160567626703,69.42
"10",10,"Mashonaland Central","medium",1,0,100,58,27.78,1,0,1,0,0.58,0.42,0.277777777777778,0.722222222222222,2.85777777777778,0.714444444444444,71.44
"11",11,"Mashonaland Central","micro",79,14.28,22.15,30.66,43.79,0.857219461469012,0.142780538530988,0.221518987341772,0.778481012658228,0.30658697015067,0.69341302984933,0.437902396478346,0.562097603521654,1.8232278154398,0.45580695385995,45.58
"12",12,"Mashonaland Central","small",31,18.09,53.23,47.8,37.36,0.819062432014515,0.180937567985485,0.532258064516129,0.467741935483871,0.47797596977241,0.52202403022759,0.373632774036,0.626367225964,2.20292924033905,0.550732310084764,55.07
"13",13,"Mashonaland East","medium",7,11.62,100,75.62,61.38,0.883838383838384,0.116161616161616,1,0,0.756190476190476,0.243809523809524,0.613789682539683,0.386210317460317,3.25381854256854,0.813454635642136,81.35
"14",14,"Mashonaland East","micro",94,14.3,26.06,41.07,32.24,0.856973089458274,0.143026910541726,0.26063829787234,0.73936170212766,0.410694065587683,0.589305934412317,0.322445679816228,0.677554320183772,1.85075113273452,0.462687783183631,46.27
"15",15,"Mashonaland East","small",31,17.44,58.06,55.47,50.11,0.825620073769424,0.174379926230576,0.580645161290323,0.419354838709677,0.554692082111437,0.445307917888563,0.501067122841316,0.498932877158684,2.4620244400125,0.615506110003125,61.55
"16",16,"Mashonaland West","medium",8,11.36,100,92.5,57.59,0.886363636363636,0.113636363636364,1,0,0.925,0.075,0.575892857142857,0.424107142857143,3.38725649350649,0.846814123376623,84.68
"17",17,"Mashonaland West","micro",111,18.98,19.82,40.06,39.6,0.810213741899256,0.189786258100744,0.198198198198198,0.801801801801802,0.400618017550867,0.599381982449133,0.395951545774061,0.604048454225939,1.80498150342238,0.451245375855595,45.12
"18",18,"Mashonaland West","small",43,22.22,65.12,60.24,58.23,0.777846328011717,0.222153671988283,0.651162790697674,0.348837209302326,0.602369633273703,0.397630366726297,0.582325904392765,0.417674095607235,2.61370465637586,0.653426164093965,65.34
"19",19,"Masvingo","medium",1,9.09,100,76,66.67,0.909090909090909,0.0909090909090909,1,0,0.76,0.24,0.666666666666667,0.333333333333333,3.33575757575758,0.833939393939394,83.39
"20",20,"Masvingo","micro",114,14.64,6.14,36.73,30.59,0.853641084777092,0.146358915222908,0.0614035087719298,0.93859649122807,0.367298052824369,0.632701947175631,0.305932594022764,0.694067405977236,1.58827524039615,0.397068810099039,39.71
"21",21,"Masvingo","small",39,16.03,64.1,48.39,46.93,0.839729252002255,0.160270747997745,0.641025641025641,0.358974358974359,0.483942095056646,0.516057904943354,0.469303758390446,0.530696241609554,2.43400074647499,0.608500186618747,60.85
"22",22,"Matabeleland North","medium",3,17.68,100,66.33,31.94,0.823232323232323,0.176767676767677,1,0,0.663333333333333,0.336666666666667,0.319444444444444,0.680555555555556,2.8060101010101,0.701502525252525,70.15
"23",23,"Matabeleland North","micro",104,17.78,29.81,32.42,33.89,0.822218549244122,0.177781450755878,0.298076923076923,0.701923076923077,0.324214290352956,0.675785709647044,0.338855444072835,0.661144555927165,1.78336520674684,0.445841301686709,44.58
"24",24,"Matabeleland North","small",37,17.05,71.62,47.55,34.84,0.829457053075088,0.170542946924912,0.716216216216216,0.283783783783784,0.475538038038038,0.524461961961962,0.348436978645312,0.651563021354688,2.36964828597465,0.592412071493663,59.24
"25",25,"Matabeleland South","medium",18,7.27,94.44,59.03,43.89,0.927306680247857,0.0726933197521433,0.944444444444444,0.055555555555556,0.590333333333333,0.409666666666667,0.438924501424501,0.561075498575499,2.90100895945013,0.725252239862534,72.53
"26",26,"Matabeleland South","micro",81,23.67,48.77,35,31.58,0.763309918287627,0.236690081712373,0.487654320987654,0.512345679012346,0.350016119058647,0.649983880941353,0.315759649636461,0.684240350363539,1.91674000797039,0.479185001992597,47.92
"27",27,"Matabeleland South","small",40,19.18,83.75,46.63,37.04,0.808233172137634,0.191766827862366,0.8375,0.1625,0.466281512605042,0.533718487394958,0.370407329598506,0.629592670401494,2.48242201434118,0.620605503585296,62.06
"28",28,"Midlands","medium",3,10,83.33,70,39.58,0.9,0.1,0.833333333333333,0.166666666666667,0.7,0.3,0.395833333333333,0.604166666666667,2.82916666666667,0.707291666666667,70.73
"29",29,"Midlands","micro",97,16.2,28.35,20.73,41.37,0.838009234987451,0.161990765012549,0.283505154639175,0.716494845360825,0.207341175433959,0.792658824566041,0.413658169026671,0.586341830973329,1.74251373408726,0.435628433521814,43.56
"30",30,"Midlands","small",26,16.29,78.85,53.77,48.91,0.837141491471655,0.162858508528345,0.788461538461538,0.211538461538462,0.537731205842661,0.462268794157339,0.489132299230983,0.510867700769017,2.65246653500684,0.663116633751709,66.31
