"","province","n","barriers_percentage","compliance_percentage","availability_percentage","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1","Bulawayo",128,17.97,40.23,44.14,39.92,0.820298750876831,0.179701249123169,0.40234375,0.59765625,0.441362636043534,0.558637363956466,0.399183924846289,0.600816075153711,2.06318906176665,0.515797265441663,51.58
"2","Harare",155,23.68,54.52,41.51,38.27,0.763173041019052,0.236826958980948,0.545161290322581,0.454838709677419,0.415138222114182,0.584861777885818,0.38267761266328,0.61732238733672,2.10615016611909,0.526537541529774,52.65
"3","Manicaland",151,23.8,56.62,42.19,44.15,0.762015442082228,0.237984557917772,0.566225165562914,0.433774834437086,0.421947938328239,0.578052061671761,0.441472761380601,0.558527238619399,2.19166130735398,0.547915326838496,54.79
"4","Mashonaland Central",111,15.79,31.53,36.23,42.45,0.842132536159294,0.157867463840706,0.315315315315315,0.684684684684685,0.362283873758978,0.637716126241022,0.424516626425527,0.575483373574473,1.94424835165911,0.486062087914779,48.61
"5","Mashonaland East",132,14.04,37.5,46.03,43.56,0.859569104573963,0.140430895426037,0.375,0.625,0.460340944693767,0.539659055306233,0.435578055584317,0.564421944415683,2.13048810485205,0.532622026213012,53.26
"6","Mashonaland West",162,20.47,35.8,48.43,48.48,0.795262187635306,0.204737812364694,0.358024691358025,0.641975308641975,0.484271284687987,0.515728715312013,0.484781017996686,0.515218982003314,2.122339181678,0.530584795419501,53.06
"7","Masvingo",154,15.89,21.43,39.62,38.92,0.841058195819848,0.158941804180152,0.214285714285714,0.785714285714286,0.396220285562391,0.603779714437609,0.389219724465019,0.610780275534981,1.84078392013297,0.460195980033243,46.02
"8","Matabeleland North",144,17.43,42.01,37.28,31.15,0.825709672295106,0.174290327704894,0.420138888888889,0.579861111111111,0.372774281274281,0.627225718725719,0.311544936544937,0.688455063455063,1.93016777900321,0.482541944750803,48.25
"9","Matabeleland South",139,18.55,64.75,40.21,36.98,0.814474708036192,0.185525291963808,0.647482014388489,0.352517985611511,0.40205507919819,0.59794492080181,0.369825057100465,0.630174942899535,2.23383685872334,0.558459214680834,55.85
"10","Midlands",126,16.56,40.08,32.91,38.53,0.834382188778958,0.165617811221042,0.400793650793651,0.599206349206349,0.329096262160778,0.670903737839222,0.385308945515186,0.614691054484814,1.94958104724857,0.487395261812143,48.74
