"","X","province","gender_inclusion","n","barriers_score","barriers_normalise","compliance_score","compliance_normalise","availability_score","availability_normalise","usage_score","usage_normalise","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo","Female",68,2.23916721127335,0.203560655570305,0.676470588235294,0.338235294117647,4.02053925191658,0.446726583546287,4.73079619726679,0.394233016438899,0.796439344429695,0.203560655570305,0.338235294117647,0.661764705882353,0.446726583546287,0.553273416453713,0.394233016438899,0.605766983561101,1.97563423853253,0.493908559633132,49.39
"2",2,"Bulawayo","Male",60,1.75286667952534,0.159351516320485,0.95,0.475,4.49684177611007,0.499649086234452,4.72635873611483,0.393863228009569,0.840648483679515,0.159351516320485,0.475,0.525,0.499649086234452,0.500350913765548,0.393863228009569,0.606136771990431,2.20916079792354,0.552290199480884,55.23
"3",3,"Harare","Female",77,2.542871926215,0.231170175110454,0.766233766233766,0.383116883116883,3.69924821514724,0.411027579460804,4.3495068667801,0.362458905565009,0.768829824889546,0.231170175110454,0.383116883116883,0.616883116883117,0.411027579460804,0.588972420539196,0.362458905565009,0.637541094434991,1.92543319303224,0.48135829825806,48.14
"4",4,"Harare","Male",78,2.70286827928981,0.245715298117255,1.41025641025641,0.705128205128205,4.24247651989587,0.471386279988431,5.00189902263635,0.416824918553029,0.754284701882745,0.245715298117255,0.705128205128205,0.294871794871795,0.471386279988431,0.528613720011569,0.416824918553029,0.583175081446971,2.34762410555241,0.586906026388103,58.69
"5",5,"Manicaland","Female",62,2.33386364535691,0.212169422305174,0.758064516129032,0.379032258064516,3.62707842571671,0.403008713968524,NA,NA,0.787830577694826,0.212169422305174,0.379032258064516,0.620967741935484,0.403008713968524,0.596991286031476,NA,NA,1.56987154972787,0.392467887431966,39.25
"6",6,"Manicaland","Male",89,2.74730253733525,0.249754776121386,1.39325842696629,0.696629213483146,4.2991988974659,0.4776887663851,5.57626210563237,0.464688508802697,0.750245223878614,0.249754776121386,0.696629213483146,0.303370786516854,0.4776887663851,0.5223112336149,0.464688508802697,0.535311491197303,2.38925171254956,0.597312928137389,59.73
"7",7,"Mashonaland Central","Female",40,1.39432586573241,0.126756896884765,0.5,0.25,2.96547619047619,0.329497354497355,NA,NA,0.873243103115235,0.126756896884765,0.25,0.75,0.329497354497355,0.670502645502645,NA,NA,1.45274045761259,0.363185114403147,36.32
"8",8,"Mashonaland Central","Male",71,1.84960772373809,0.168146156703462,0.704225352112676,0.352112676056338,3.79112878453022,0.421236531614469,5.3457846176156,0.445482051467967,0.831853843296538,0.168146156703462,0.352112676056338,0.647887323943662,0.421236531614469,0.578763468385531,0.445482051467967,0.554517948532033,2.05068510243531,0.512671275608828,51.27
"9",9,"Mashonaland East","Female",77,1.61994881388688,0.147268073989716,0.61038961038961,0.305194805194805,4.45833877676408,0.495370975196009,5.5777593499184,0.464813279159866,0.852731926010284,0.147268073989716,0.305194805194805,0.694805194805195,0.495370975196009,0.504629024803991,0.464813279159866,0.535186720840134,2.11811098556096,0.529527746390241,52.95
"10",10,"Mashonaland East","Male",55,1.65826372424812,0.15075124765892,0.945454545454545,0.472727272727273,4.43228021978022,0.49247557997558,5.12640692640693,0.427200577200577,0.84924875234108,0.15075124765892,0.472727272727273,0.527272727272727,0.49247557997558,0.50752442002442,0.427200577200577,0.572799422799423,2.24165218224451,0.560413045561127,56.04
"11",11,"Mashonaland West","Female",65,2.22884286537808,0.202622078670734,0.476923076923077,0.238461538461538,4.22486603953322,0.469429559948136,NA,NA,0.797377921329266,0.202622078670734,0.238461538461538,0.761538461538462,0.469429559948136,0.530570440051864,NA,NA,1.50526901973894,0.376317254934735,37.63
"12",12,"Mashonaland West","Male",97,2.21939275786597,0.201762977987815,0.876288659793814,0.438144329896907,4.73531478813695,0.526146087570772,6.4924072635284,0.541033938627366,0.798237022012185,0.201762977987815,0.438144329896907,0.561855670103093,0.526146087570772,0.473853912429228,0.541033938627366,0.458966061372634,2.30356137810723,0.575890344526808,57.59
"13",13,"Masvingo","Female",77,1.58499336418234,0.144090305834758,0.207792207792208,0.103896103896104,3.5579137237032,0.395323747078133,NA,NA,0.855909694165242,0.144090305834758,0.103896103896104,0.896103896103896,0.395323747078133,0.604676252921867,NA,NA,1.35512954513948,0.33878238628487,33.88
"14",14,"Masvingo","Male",77,1.76766285773639,0.160696623430581,0.649350649350649,0.324675324675325,3.90393312827523,0.433770347586137,5.31248917748918,0.442707431457431,0.839303376569419,0.160696623430581,0.324675324675325,0.675324675324675,0.433770347586137,0.566229652413863,0.442707431457431,0.557292568542569,2.04045648028831,0.510114120072078,51.01
"15",15,"Matabeleland North","Female",53,1.8335561307287,0.166686920975336,0.641509433962264,0.320754716981132,3.32853773584906,0.369837526205451,NA,NA,0.833313079024664,0.166686920975336,0.320754716981132,0.679245283018868,0.369837526205451,0.630162473794549,NA,NA,1.52390532221125,0.380976330552812,38.1
"16",16,"Matabeleland North","Male",91,1.97693754630762,0.179721595118875,0.956043956043956,0.478021978021978,3.74132888809537,0.415703209788375,NA,NA,0.820278404881125,0.179721595118875,0.478021978021978,0.521978021978022,0.415703209788375,0.584296790211625,NA,NA,1.71400359269148,0.42850089817287,42.85
"17",17,"Matabeleland South","Female",51,2.43086505091325,0.220987731901205,0.901960784313725,0.450980392156863,3.39705882352941,0.377450980392157,3.27248366013072,0.27270697167756,0.779012268098795,0.220987731901205,0.450980392156863,0.549019607843137,0.377450980392157,0.622549019607843,0.27270697167756,0.72729302832244,1.88015061232537,0.470037653081344,47
"18",18,"Matabeleland South","Male",88,1.90520528076284,0.173200480069349,1.52272727272727,0.761363636363636,4.01422128718739,0.446024587465265,4.63851138503681,0.386542615419734,0.826799519930651,0.173200480069349,0.761363636363636,0.238636363636364,0.446024587465265,0.553975412534735,0.386542615419734,0.613457384580266,2.42073035917929,0.605182589794822,60.52
"19",19,"Midlands","Female",45,1.61551797070525,0.146865270064114,0.6,0.3,3.37777777777778,0.375308641975309,NA,NA,0.853134729935886,0.146865270064114,0.3,0.7,0.375308641975309,0.624691358024691,NA,NA,1.52844337191119,0.382110842977799,38.21
"20",20,"Midlands","Male",81,1.91745858308727,0.174314416644297,0.91358024691358,0.45679012345679,3.13328411467946,0.348142679408829,4.54726800976801,0.378939000814001,0.825685583355703,0.174314416644297,0.45679012345679,0.54320987654321,0.348142679408829,0.651857320591171,0.378939000814001,0.621060999185999,2.00955738703532,0.502389346758831,50.24
