"","X","province","n","barriers_percentage","compliance_percentage","availability_percentage","usage_percentage","barriers_inclusion","barriers_exclusion","compliance_inclusion","compliance_exclusion","availability_inclusion","availability_exclusion","usage_inclusion","usage_exclusion","index_score","index_normalise","index_percentage"
"1",1,"Bulawayo",128,40.03,40.23,44.14,39.92,0.599664961013645,0.400335038986355,0.40234375,0.59765625,0.441362636043534,0.558637363956466,0.399183924846289,0.600816075153711,1.84255527190347,0.460638817975867,46.06
"2",2,"Harare",155,61.1,54.52,41.51,38.27,0.389030446935868,0.610969553064132,0.545161290322581,0.454838709677419,0.415138222114182,0.584861777885818,0.38267761266328,0.61732238733672,1.73200757203591,0.433001893008978,43.3
"3",3,"Manicaland",151,59.88,56.62,42.19,44.15,0.401185190184342,0.598814809815658,0.566225165562914,0.433774834437086,0.421947938328239,0.578052061671761,0.441472761380601,0.558527238619399,1.8308310554561,0.457707763864024,45.77
"4",4,"Mashonaland Central",111,37.85,31.53,36.23,42.45,0.62145354703014,0.37854645296986,0.315315315315315,0.684684684684685,0.362283873758978,0.637716126241022,0.424516626425527,0.575483373574473,1.72356936252996,0.43089234063249,43.09
"5",5,"Mashonaland East",132,26.33,37.5,46.03,43.56,0.736694095498093,0.263305904501907,0.375,0.625,0.460340944693767,0.539659055306233,0.435578055584317,0.564421944415683,2.00761309577618,0.501903273944044,50.19
"6",6,"Mashonaland West",162,52.75,35.8,48.43,48.48,0.472519008850579,0.527480991149421,0.358024691358025,0.641975308641975,0.484271284687987,0.515728715312013,0.484781017996686,0.515218982003314,1.79959600289328,0.449899000723319,44.99
"7",7,"Masvingo",154,35.9,21.43,39.62,38.92,0.64102038121646,0.35897961878354,0.214285714285714,0.785714285714286,0.396220285562391,0.603779714437609,0.389219724465019,0.610780275534981,1.64074610552958,0.410186526382396,41.02
"8",8,"Matabeleland North",144,41.98,42.01,37.28,31.15,0.58020604062004,0.41979395937996,0.420138888888889,0.579861111111111,0.372774281274281,0.627225718725719,0.311544936544937,0.688455063455063,1.68466414732815,0.421166036832037,42.12
"9",9,"Matabeleland South",139,43.89,64.75,40.21,36.98,0.561149026110244,0.438850973889756,0.647482014388489,0.352517985611511,0.40205507919819,0.59794492080181,0.369825057100465,0.630174942899535,1.98051117679739,0.495127794199347,49.51
"10",10,"Midlands",126,39.27,40.08,32.91,38.53,0.607283609262104,0.392716390737896,0.400793650793651,0.599206349206349,0.329096262160778,0.670903737839222,0.385308945515186,0.614691054484814,1.72248246773172,0.43062061693293,43.06
